horse,horseLabel,mother,father,birthyear,genderLabel
Q11308582,シンコウアンクレー,missing,missing,1986,male organism
Q11308583,シンコウウインディ,missing,Q11320777,1993,male organism
Q11308584,シンコウカリド,missing,Q11308429,1998,male organism
Q11308585,シンコウキング,missing,Q5430970,1991,male organism
Q11308587,シンコウスプレンダ,missing,Q5243161,1994,male organism
Q11308589,Shinko Lovely,missing,Q2932844,1989,female organism
Q11308590,シンコウフォレスト,missing,Q5602473,1993,male organism
Q11308657,シンドバッド,missing,Q11304520,2000,male organism
Q11308699,シンボリインディ,missing,Q1968208,1996,male organism
Q11308700,シンボリクリエンス,missing,missing,1985,male organism
Q11308701,シンボリグラン,missing,Q5594750,2002,missing
Q11308702,シンボリモントルー,missing,Q11344265,1985,male organism
Q11308703,Symboli Rudolf,missing,Q11329825,1981,male organism
Q11308711,Shimmei Fuji,missing,Q11333106,2007,female organism
Q11308715,シンモエダケ,missing,Q11307511,1969,female organism
Q11308736,She is Tosho,missing,Q11304520,2000,female organism
Q11308753,シーエース,missing,Q11326304,1964,female organism
Q11308763,Seeking the Dia,Q11308764,Q3499832,2001,male organism
Q11308764,Seeking the Pearl,missing,Q7445798,1994,female organism
Q11308765,シーキングザベスト,missing,Q7445798,2001,male organism
Q11308798,Cesario,missing,Q11312941,2002,female organism
Q11308800,シーザー,missing,Q11326304,1957,male organism
Q11308836,シーチャリオット,missing,Q7445798,2002,male organism
Q11308879,C.B. Queen,missing,missing,1973,female organism
Q11308880,C B Cross,missing,Q11332878,1975,male organism
Q11308892,Sea Hawk,missing,Q11291079,1963,male organism
Q11308902,シーマー,missing,Q11314399,1944,male organism
Q11308935,シーロ,missing,Q8033082,1997,male organism
Q11309078,ジェイエスホールド,missing,missing,2004,male organism
Q11309134,Jade Robbery,missing,Q1104649,1987,male organism
Q11309142,ジェイペグ,missing,missing,2003,male organism
Q11309244,J'ai Deux Amours,missing,Q17116219,1986,female organism
Q11309251,Genuine,missing,Q180387,1992,male organism
Q11309336,Gemologist,missing,Q11318930,2009,male organism
Q11309375,ジェルミナル,missing,Q4693122,2006,female organism
Q11309502,ジグ,missing,missing,missing,male organism
Q11309666,Giant Wrecker,missing,Q3105301,2002,male organism
Q11309699,Jaguar Mail,missing,Q11310148,2004,male organism
Q11309830,Jack Sullivan,missing,missing,2001,missing
Q11309878,Judge Angelucci,missing,missing,1983,male organism
